2012-12-12 15:50:42,590 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | register ._muleNotificationManager:notification.3: org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,591 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | parsing: mule:notification{event=SECURITY}
2012-12-12 15:50:42,592 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | event="SECURITY" for org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,593 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | value: org.mule.context.notification.SecurityNotification
2012-12-12 15:50:42,594 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | interface="SECURITY" for org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,594 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | key: org.mule.api.context.notification.SecurityNotificationListener
2012-12-12 15:50:42,595 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | insert org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair -> org.mule.config.spring.ServerNotificationManagerConfigurator
2012-12-12 15:50:42,595 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | register ._muleNotificationManager:notification.4: org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,596 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | parsing: mule:notification{event=MANAGEMENT}
2012-12-12 15:50:42,596 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | event="MANAGEMENT" for org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,597 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | value: org.mule.context.notification.ManagementNotification
2012-12-12 15:50:42,597 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | interface="MANAGEMENT" for org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,598 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | key: org.mule.api.context.notification.ManagementNotificationListener
2012-12-12 15:50:42,598 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | insert org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair -> org.mule.config.spring.ServerNotificationManagerConfigurator
2012-12-12 15:50:42,599 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | register ._muleNotificationManager:notification.5: org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,600 | DEBUG  | org.mule.config.spring.MuleHierarchicalBeanDefinitionParserDelegate |  125 | parsing: mule:notification{event=CONNECTION}
2012-12-12 15:50:42,600 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | event="CONNECTION" for org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
2012-12-12 15:50:42,606 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | value: org.mule.context.notification.ConnectionNotification
2012-12-12 15:50:42,607 | DEBUG  | org.mule.config.spring.parsers.assembly.DefaultBeanAssembler |  125 | interface="CONNECTION" for org.mule.config.spring.parsers.collection.ChildMapEntryDefinitionParser$KeyValuePair
